2024-09-04 12:28:09,160 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:10,170 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:11,186 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:12,202 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:13,202 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:14,204 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:15,219 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:16,247 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:17,268 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
2024-09-04 12:28:18,269 - ErrorHandler - ERROR - Error: 'action' | Context: Error processing scenario
